Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US39580,39580,"Raleigh, NC Metro Area",1130490,1130490,1242974
310M200US39660,39660,"Rapid City, SD Metro Area",134598,134609,143638
310M200US39740,39740,"Reading, PA Metro Area",411442,411587,413691
310M200US39820,39820,"Redding, CA Metro Area",177223,177223,179804
310M200US39900,39900,"Reno, NV Metro Area",425417,425437,443990
310M200US40060,40060,"Richmond, VA Metro Area",1208101,1208080,1260029
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4224851,4224972,4441890
310M200US40220,40220,"Roanoke, VA Metro Area",308707,308693,313388
310M200US40340,40340,"Rochester, MN Metro Area",206877,206877,212778
310M200US40380,40380,"Rochester, NY Metro Area",1079671,1079692,1083393
310M200US40420,40420,"Rockford, IL Metro Area",349431,349431,342411
310M200US40580,40580,"Rocky Mount, NC Metro Area",152392,152388,149290
310M200US40660,40660,"Rome, GA Metro Area",96317,96317,96063
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2149127,2149143,2244397
310M200US40980,40980,"Saginaw, MI Metro Area",200169,200169,195012
310M200US41060,41060,"St. Cloud, MN Metro Area",189093,189093,192418
310M200US41100,41100,"St. George, UT Metro Area",138115,138115,151948
310M200US41140,41140,"St. Joseph, MO-KS Metro Area",127329,127329,127431
310M200US41180,41180,"St. Louis, MO-IL Metro Area",2787701,2787747,2806207
310M200US41420,41420,"Salem, OR Metro Area",390738,390738,404026
310M200US41500,41500,"Salinas, CA Metro Area",415057,415057,431344
310M200US41540,41540,"Salisbury, MD-DE Metro Area",373802,373769,389922
310M200US41620,41620,"Salt Lake City, UT Metro Area",1087873,1087873,1153340
310M200US41660,41660,"San Angelo, TX Metro Area",111823,111823,118182
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",2142508,2142518,2328652
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",3095313,3095308,3263431
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",4335391,4335560,4594060
310M200US41900,41900,"San Germán, PR Metro Area",137462,137626,132660
310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1836911,1836941,1952872
310M200US41980,41980,"San Juan-Carolina-Caguas, PR Metro Area",2350126,2350306,2242285
